"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","BROADWATER","007","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","296","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","CASCADE","013","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","1,027","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","FERGUS","027","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","845","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","GOLDEN VALLEY","037","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","157","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","JUDITH BASIN","045","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","357","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","LEWIS AND CLARK","049","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","707","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","MEAGHER","059","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","145","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","MUSSELSHELL","065","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","346","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","PETROLEUM","069","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","104","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","WHEATLAND","107","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","174","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","BLAINE","005","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","491","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","CHOUTEAU","015","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","633","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","GLACIER","035","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","637","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","HILL","041","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","698","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","LIBERTY","051","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","246","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","PHILLIPS","071","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","445","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","PONDERA","073","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","486","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","TETON","099","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","686","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","TOOLE","101","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","362","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","DANIELS","019","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","277","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","DAWSON","021","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","487","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","GARFIELD","033","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","260","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","MCCONE","055","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","437","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","RICHLAND","083","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","527","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","ROOSEVELT","085","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","501","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","SHERIDAN","091","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","458","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","VALLEY","105","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","557","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","DEER LODGE","023","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","77","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","FLATHEAD","029","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","1,146","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","GRANITE","039","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","151","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","LAKE","047","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","1,170","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","LINCOLN","053","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","345","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","MINERAL","061","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","93","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","MISSOULA","063","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","576","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","POWELL","077","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","254","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","RAVALLI","081","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","1,576","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","SANDERS","089","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","521","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTH CENTRAL","80","BIG HORN","003","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","353","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTH CENTRAL","80","CARBON","009","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","725","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTH CENTRAL","80","PARK","067","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","575","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTH CENTRAL","80","STILLWATER","095","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","562","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTH CENTRAL","80","SWEET GRASS","097","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","301","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTH CENTRAL","80","TREASURE","103","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","121","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTH CENTRAL","80","YELLOWSTONE","111","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","1,314","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTHEAST","90","CARTER","011","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","323","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTHEAST","90","CUSTER","017","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","441","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTHEAST","90","FALLON","025","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","289","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTHEAST","90","POWDER RIVER","075","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","325","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTHEAST","90","PRAIRIE","079","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","179","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTHEAST","90","ROSEBUD","087","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","414","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTHEAST","90","WIBAUX","109","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","137","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTHWEST","70","BEAVERHEAD","001","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","494","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTHWEST","70","GALLATIN","031","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","1,123","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTHWEST","70","JEFFERSON","043","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","370","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTHWEST","70","MADISON","057","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","605","22.9"
"CENSUS","2017","YEAR","","COUNTY","MONTANA","30","SOUTHWEST","70","SILVER BOW","093","","","00000000","","FARM OPERATIONS","FARM OPERATIONS - NUMBER OF OPERATIONS","TOTAL","NOT SPECIFIED","142","22.9"
